"Taxa";"Protein";"Predicted_water_absorption";"Milling_yield";"Mixing energy";"Rmax";"Extensibility"
"275";"G68";13.6587305578867;NA;NA;NA;NA;NA
"276";"G81";14.0337305578867;NA;NA;NA;NA;NA
"277";"G55";13.8087305578867;NA;NA;NA;NA;NA
"278";"G59";13.5337305578867;NA;NA;NA;NA;NA
"279";"G69";13.1337305578867;NA;NA;NA;NA;NA
"280";"G75";12.6837305578867;NA;NA;NA;NA;NA
"281";"G82";12.7587305578867;NA;NA;NA;NA;NA
"282";"G50";13.9337305578867;NA;NA;NA;NA;NA
"283";"G10";13.9931530880966;NA;NA;NA;NA;NA
"284";"G24";14.8181530880966;NA;NA;NA;NA;NA
"285";"G295";14.0468173299522;NA;NA;NA;NA;NA
"286";"G306";13.7468173299523;NA;NA;NA;NA;NA
"287";"G318";13.6468173299522;NA;NA;NA;NA;NA
"288";"G776";14.1468173299522;NA;NA;NA;NA;NA
"289";"G773";13.7801506632856;NA;NA;NA;NA;NA
"290";"G330";13.4801506632856;NA;NA;NA;NA;NA
"291";"G342";14.0468173299522;NA;NA;NA;NA;NA
"292";"G354";14.1134839966189;NA;NA;NA;NA;NA
"293";"G366";13.6468173299522;NA;NA;NA;NA;NA
"294";"G777";13.9801506632856;NA;NA;NA;NA;NA
"295";"G780";14.0134839966189;NA;NA;NA;NA;NA
"296";"G378";14.1134839966189;NA;NA;NA;NA;NA
"297";"G296";14.5468173299523;NA;NA;NA;NA;NA
"298";"G307";13.9468173299523;NA;NA;NA;NA;NA
"299";"G767";13.9468173299523;NA;NA;NA;NA;NA
"300";"G319";13.5801506632856;NA;NA;NA;NA;NA
"301";"G331";13.7468173299523;NA;NA;NA;NA;NA
"302";"G781";13.7468173299522;NA;NA;NA;NA;NA
"303";"G771";12.6468173299523;NA;NA;NA;NA;NA
"304";"G343";14.2801506632856;NA;NA;NA;NA;NA
"305";"G355";13.6468173299523;NA;NA;NA;NA;NA
"306";"G367";13.9134839966189;NA;NA;NA;NA;NA
"307";"G379";13.6801506632856;NA;NA;NA;NA;NA
"308";"G782";13.5801506632856;NA;NA;NA;NA;NA
"309";"G297";14.0801506632856;NA;NA;NA;NA;NA
"310";"G774";13.6468173299523;NA;NA;NA;NA;NA
"311";"G308";14.1134839966189;NA;NA;NA;NA;NA
"312";"G784";13.9468173299523;NA;NA;NA;NA;NA
"313";"G320";14.2134839966189;NA;NA;NA;NA;NA
"314";"G332";14.0134839966189;NA;NA;NA;NA;NA
"315";"G344";13.8801506632856;NA;NA;NA;NA;NA
"316";"G356";14.1801506632856;NA;NA;NA;NA;NA
"317";"G368";13.6134839966189;NA;NA;NA;NA;NA
"318";"G768";13.8134839966189;NA;NA;NA;NA;NA
"319";"G380";14.1134839966189;NA;NA;NA;NA;NA
"320";"G298";13.9468173299523;NA;NA;NA;NA;NA
"321";"G775";12.8801506632856;NA;NA;NA;NA;NA
"322";"G778";13.1134839966189;NA;NA;NA;NA;NA
"323";"G785";13.0468173299522;NA;NA;NA;NA;NA
"324";"G309";14.2134839966189;NA;NA;NA;NA;NA
"325";"G321";13.6468173299523;NA;NA;NA;NA;NA
"326";"G779";14.0468173299523;NA;NA;NA;NA;NA
"327";"G769";13.213483996619;NA;NA;NA;NA;NA
"328";"G770";13.3801506632856;NA;NA;NA;NA;NA
"329";"G772";13.8134839966189;NA;NA;NA;NA;NA
"330";"G333";13.5801506632856;NA;NA;NA;NA;NA
"331";"G783";13.9468173299522;NA;NA;NA;NA;NA
"332";"G786";13.7801506632856;NA;NA;NA;NA;NA
"333";"G345";13.9801506632856;NA;NA;NA;NA;NA
"334";"G357";13.6468173299522;NA;NA;NA;NA;NA
"335";"G369";13.6801506632856;NA;NA;NA;NA;NA
"336";"G381";13.5468173299522;NA;NA;NA;NA;NA
"337";"G105";13.9102294960786;66.1547;74.9826511627907;11.51;518.5;19
"338";"G106";13.8102294960786;66.1547;73.851488372093;9.255;388;18.45
"339";"G107";13.8102294960786;66.1547;74.0231162790698;9.26;337.5;20.9
"340";"G119";14.3102294960786;65.82835;75.5427558139535;6.795;296.5;21.65
"341";"G131";13.9352294960785;63.87025;73.8139534883721;9.055;407;19.85
"342";"G143";14.3102294960786;67.13375;74.6076279069767;9.455;370;21.4
"343";"G155";14.0602294960786;63.5439;73.4970058139535;11.61;510.5;20
"344";"G167";14.3602294960786;67.13375;74.8168604651163;8.98;394.5;22.6
"345";"G179";14.0352294960786;63.87025;75.1547209302326;8.92;527;19.1
"346";"G189";14.4102294960786;65.17565;74.6076279069767;10.625;430.5;19.5
"347";"G299";13.7134839966189;NA;NA;NA;NA;NA
"348";"G310";13.9468173299522;NA;NA;NA;NA;NA
"349";"G322";13.6134839966189;NA;NA;NA;NA;NA
"350";"G334";14.0801506632856;NA;NA;NA;NA;NA
"351";"G346";13.9801506632856;NA;NA;NA;NA;NA
"352";"G358";13.7801506632856;NA;NA;NA;NA;NA
"353";"G796";14.3468173299522;NA;NA;NA;NA;NA
"354";"G370";13.4801506632856;NA;NA;NA;NA;NA
"355";"G787";13.1801506632856;NA;NA;NA;NA;NA
"356";"G792";13.8468173299522;NA;NA;NA;NA;NA
"357";"G382";13.8468173299523;NA;NA;NA;NA;NA
"358";"G311";14.3468173299523;NA;NA;NA;NA;NA
"359";"G323";13.4134839966189;NA;NA;NA;NA;NA
"360";"G788";13.5801506632856;NA;NA;NA;NA;NA
"361";"G793";14.1468173299523;NA;NA;NA;NA;NA
"362";"G335";13.7134839966189;NA;NA;NA;NA;NA
"363";"G801";13.2468173299522;NA;NA;NA;NA;NA
"364";"G347";13.9468173299523;NA;NA;NA;NA;NA
"365";"G359";13.4801506632856;NA;NA;NA;NA;NA
"366";"G797";14.0468173299522;NA;NA;NA;NA;NA
"367";"G802";14.0801506632856;NA;NA;NA;NA;NA
"368";"G805";14.5134839966189;NA;NA;NA;NA;NA
"369";"G371";13.6801506632856;NA;NA;NA;NA;NA
"370";"G383";13.9468173299523;NA;NA;NA;NA;NA
"371";"G789";12.8801506632856;NA;NA;NA;NA;NA
"372";"G300";14.6134839966189;NA;NA;NA;NA;NA
"373";"G800";13.5468173299522;NA;NA;NA;NA;NA
"374";"G312";13.5468173299522;NA;NA;NA;NA;NA
"375";"G806";13.6134839966189;NA;NA;NA;NA;NA
"376";"G790";13.258545203387;NA;NA;NA;NA;NA
"377";"G324";13.5134839966189;NA;NA;NA;NA;NA
"378";"G336";14.3134839966189;NA;NA;NA;NA;NA
"379";"G795";14.2468173299522;NA;NA;NA;NA;NA
"380";"G803";13.5468173299522;NA;NA;NA;NA;NA
"381";"G791";14.4468173299523;NA;NA;NA;NA;NA
"382";"G794";13.3468173299523;NA;NA;NA;NA;NA
"383";"G798";14.3468173299522;NA;NA;NA;NA;NA
"384";"G348";14.0468173299522;NA;NA;NA;NA;NA
"385";"G360";14.2134839966189;NA;NA;NA;NA;NA
"386";"G372";13.6801506632856;NA;NA;NA;NA;NA
"387";"G384";13.6468173299522;NA;NA;NA;NA;NA
"388";"G301";14.2134839966189;NA;NA;NA;NA;NA
"389";"G108";14.3801506632856;66.8074;74.7598837209302;13.92;595.5;19.8
"390";"G120";15.1852294960786;69.74455;73.921511627907;9.435;455;23.3
"391";"G132";14.4602294960786;66.1547;74.2550930232558;8.905;399;20.8
"392";"G144";14.3852294960786;67.4601;74.2308197674419;12.395;500;18.95
"393";"G156";14.4602294960786;69.4182;75.1417325581395;9.155;392;18.75
"394";"G168";14.5602294960786;66.8074;74.0231162790698;11.62;585.5;19.15
"395";"G190";14.3102294960786;67.13375;75.9200581395349;9.225;398;19.15
"396";"G109";14.7602294960786;69.09185;75.5753488372093;11.22;463.5;20.45
"397";"G121";14.3602294960784;68.1128;75.3205290697674;9.68;424;18.9
"398";"G133";13.9102294960785;64.1966;75.8320348837209;14.11;677.5;19.6
"399";"G313";13.6468173299522;NA;NA;NA;NA;NA
"400";"G325";14.2134839966189;NA;NA;NA;NA;NA
"401";"G799";14.0134839966189;NA;NA;NA;NA;NA
"402";"G804";13.9134839966189;NA;NA;NA;NA;NA
"403";"G337";13.5134839966189;NA;NA;NA;NA;NA
"404";"G349";13.6468173299523;NA;NA;NA;NA;NA
"405";"G361";14.1468173299523;NA;NA;NA;NA;NA
"406";"G373";14.0468173299523;NA;NA;NA;NA;NA
"407";"G385";13.5801506632855;NA;NA;NA;NA;NA
"408";"G302";13.8134839966189;NA;NA;NA;NA;NA
"409";"G314";13.3134839966189;NA;NA;NA;NA;NA
"410";"G326";13.9801506632856;NA;NA;NA;NA;NA
"411";"G822";14.0468173299522;NA;NA;NA;NA;NA
"412";"G338";13.8468173299522;NA;NA;NA;NA;NA
"413";"G350";14.1801506632856;NA;NA;NA;NA;NA
"414";"G362";14.4468173299522;NA;NA;NA;NA;NA
"415";"G374";14.0468173299522;NA;NA;NA;NA;NA
"416";"G386";14.2134839966189;NA;NA;NA;NA;NA
"417";"G303";13.8468173299523;NA;NA;NA;NA;NA
"418";"G812";14.9468173299522;NA;NA;NA;NA;NA
"419";"G315";14.0134839966189;NA;NA;NA;NA;NA
"420";"G327";14.3468173299522;NA;NA;NA;NA;NA
"421";"G339";13.9134839966189;NA;NA;NA;NA;NA
"422";"G823";14.3801506632856;NA;NA;NA;NA;NA
